"row_id" "bdmId" "NInCat" "hostFlag" "x" "y" "z" "np" "Mvir" "Mtot" "Rvir" "conc"
"1" 13492 41603170176 3170176 -1 33.4537010192871 178.839096069336 99.7397994995117 4345600 588800019398656 596799999967232 1.74639999866486 6.9060001373291
"2" 10057 41603172637 3172637 -1 36.6613006591797 192.355895996094 98.7212982177734 2433300 329700010360832 330600007335936 1.43449997901917 7.98299980163574
"3" 3965 41603172532 3172532 -1 39.4782981872559 174.217193603516 97.4177017211914 542670 73529999491072 76149996650496 0.878799974918365 6.31599998474121
"4" 10751 41603174117 3174117 -1 26.031400680542 189.32780456543 98.845100402832 2515000 340799984238592 341499996798976 1.44980001449585 7.35900020599365
"5" 12506 41605006285 5006285 -1 20.3519992828369 192.733200073242 100.840698242188 378800 51330001403904 55829998862336 0.792500019073486 10.1199998855591
"6" 2764 41603160981 3160981 -1 38.499698638916 193.923904418945 96.1722030639648 546440 74040001691648 77900002885632 0.884700000286102 4.80600023269653
"7" 511 41603159054 3159054 -1 37.5121994018555 175.338394165039 99.3820037841797 62848 8516000022528 9394999787520 0.437200009822845 6.24100017547607
"8" 15644 41603182389 3182389 -1 33.0794982910156 189.860504150391 98.9925003051758 73377 9943000285184 10659999776768 0.455700010061264 6.42600011825562
"9" 15565 41605002089 5002089 41603182462 32.7916984558105 185.449203491211 100.097702026367 61678 8358000066560 9752000069632 0.319900006055832 8.06900024414062
"10" 9312 41603157077 3157077 -1 25.0881996154785 181.859802246094 95.2026977539062 174920 23700000735232 24970000334848 0.605799973011017 6.65399980545044
