p1 p2 p3 p4 p5 p6 p7 p8 p9 p10 p11 class
1 1.29e-03 2.02e-02 1.69e-04 1.42e-03 1.01e-04 9.69e-01 1.41e-04 4.79e-04 4.03e-04 9.90e-05 7.04e-03  6
2 3.70e-03 9.42e-01 2.81e-04 7.13e-03 3.34e-04 1.05e-02 2.76e-04 2.28e-02 2.60e-03 2.76e-04 9.82e-03  2
3 6.39e-03 8.96e-01 4.90e-04 1.40e-02 6.28e-04 2.12e-02 4.76e-04 3.80e-02 4.33e-03 5.30e-04 1.76e-02  2
4 2.83e-02 2.92e-02 1.40e-03 1.12e-01 2.83e-03 4.70e-03 1.53e-03 7.29e-01 4.39e-02 2.45e-03 4.39e-02  8
5 2.44e-02 2.86e-02 1.27e-03 1.27e-01 2.91e-03 5.05e-03 1.36e-03 7.33e-01 3.18e-02 2.49e-03 4.21e-02  8
6 1.44e-02 3.40e-02 7.68e-04 3.97e-02 1.12e-03 4.23e-03 8.09e-04 8.62e-01 2.04e-02 1.19e-03 2.19e-02  8
7 1.18e-01 1.77e-01 5.84e-03 1.05e-01 3.95e-03 2.05e-02 6.34e-03 2.20e-01 2.21e-01 5.21e-03 1.18e-01 11
8 3.20e-02 6.34e-01 2.05e-03 4.23e-02 1.85e-03 2.20e-02 2.12e-03 1.75e-01 3.13e-02 1.79e-03 5.61e-02  8
9 1.70e-01 2.69e-01 1.02e-02 8.79e-02 4.28e-03 3.46e-02 1.08e-02 7.86e-02 1.47e-01 5.55e-03 1.82e-01 11
10 3.61e-03 9.58e-01 3.19e-04 3.55e-03 1.95e-04 1.96e-02 3.01e-04 3.68e-03 1.90e-03 2.02e-04 8.98e-03  2
11 2.33e-03 9.57e-01 2.20e-04 4.67e-03 3.10e-04 1.92e-02 2.09e-04 3.56e-03 1.13e-03 1.86e-04 1.10e-02  2
12 3.64e-03 9.51e-01 3.41e-04 5.57e-03 3.71e-04 1.77e-02 3.28e-04 4.38e-03 1.76e-03 2.45e-04 1.50e-02  2
13 2.17e-04 9.97e-01 1.89e-05 3.18e-04 1.81e-05 1.37e-03 1.82e-05 4.06e-04 1.20e-04 1.44e-05 6.94e-04  2
14 7.45e-06 1.00e+00 6.83e-07 1.16e-05 6.71e-07 1.05e-04 6.42e-07 1.23e-05 3.83e-06 5.36e-07 2.63e-05  2
15 2.57e-06 1.00e+00 2.37e-07 3.88e-06 2.27e-07 3.73e-05 2.23e-07 4.00e-06 1.31e-06 1.82e-07 9.09e-06  2
16 1.68e-05 1.00e+00 1.55e-06 2.45e-05 1.45e-06 2.01e-04 1.46e-06 2.54e-05 8.59e-06 1.16e-06 5.90e-05  2
17 5.72e-05 9.99e-01 5.43e-06 7.90e-05 4.81e-06 8.25e-04 5.09e-06 7.23e-05 2.79e-05 3.86e-06 2.07e-04  2
18 5.43e-04 9.92e-01 4.85e-05 6.46e-04 3.63e-05 4.20e-03 4.58e-05 7.25e-04 2.88e-04 3.34e-05 1.56e-03  2
19 6.65e-05 9.99e-01 6.19e-06 9.16e-05 5.50e-06 7.62e-04 5.84e-06 9.01e-05 3.33e-05 4.43e-06 2.32e-04  2
20 1.92e-04 9.96e-01 1.76e-05 3.20e-04 1.95e-05 1.89e-03 1.68e-05 3.22e-04 9.82e-05 1.40e-05 7.41e-04  2
21 2.24e-05 1.00e+00 2.03e-06 3.54e-05 2.06e-06 2.42e-04 1.92e-06 3.95e-05 1.17e-05 1.60e-06 7.93e-05  2
22 1.18e-05 1.00e+00 1.08e-06 1.84e-05 1.07e-06 1.36e-04 1.02e-06 2.02e-05 6.16e-06 8.40e-07 4.17e-05  2
23 4.30e-05 9.99e-01 4.16e-06 6.31e-05 3.87e-06 9.80e-04 3.87e-06 5.37e-05 2.04e-05 3.07e-06 1.66e-04  2
24 7.49e-05 9.97e-01 7.34e-06 1.09e-04 6.76e-06 2.04e-03 6.79e-06 8.90e-05 3.49e-05 5.38e-06 2.95e-04  2
25 4.81e-04 9.70e-01 4.83e-05 7.19e-04 4.42e-05 2.62e-02 4.40e-05 5.21e-04 2.15e-04 3.64e-05 1.96e-03  2
26 1.71e-05 1.00e+00 1.60e-06 2.53e-05 1.49e-06 3.04e-04 1.50e-06 2.46e-05 8.52e-06 1.22e-06 6.11e-05  2
27 5.48e-05 9.99e-01 5.02e-06 8.62e-05 4.91e-06 8.68e-04 4.71e-06 9.15e-05 2.82e-05 4.03e-06 1.92e-04  2
28 1.74e-04 9.96e-01 1.59e-05 2.53e-04 1.42e-05 2.72e-03 1.49e-05 2.67e-04 8.94e-05 1.24e-05 5.73e-04  2
29 3.70e-04 9.90e-01 3.39e-05 5.82e-04 3.23e-05 6.57e-03 3.16e-05 6.02e-04 1.90e-04 2.78e-05 1.26e-03  2
30 3.54e-03 9.32e-01 3.30e-04 8.35e-03 5.43e-04 2.89e-02 3.14e-04 6.29e-03 1.74e-03 3.09e-04 1.74e-02  2
31 1.62e-03 8.63e-01 1.70e-04 2.89e-03 1.95e-04 1.21e-01 1.55e-04 1.63e-03 6.83e-04 1.36e-04 8.45e-03  2
32 2.58e-03 6.68e-01 2.82e-04 4.56e-03 3.21e-04 3.06e-01 2.54e-04 2.24e-03 1.04e-03 2.22e-04 1.47e-02  2
33 2.82e-04 9.93e-01 2.73e-05 3.42e-04 2.06e-05 4.91e-03 2.53e-05 2.93e-04 1.33e-04 1.81e-05 9.57e-04  2
34 3.61e-05 8.57e-04 4.68e-06 4.61e-05 3.45e-06 9.99e-01 3.95e-06 1.54e-05 1.16e-05 2.95e-06 2.28e-04  6
35 8.17e-05 2.77e-03 1.03e-05 1.02e-04 7.31e-06 9.96e-01 8.73e-06 3.72e-05 2.71e-05 6.47e-06 4.65e-04  6
36 7.66e-05 1.93e-03 9.68e-06 1.05e-04 7.69e-06 9.97e-01 8.21e-06 3.54e-05 2.53e-05 6.52e-06 4.78e-04  6
37 2.15e-05 7.05e-04 2.69e-06 2.92e-05 2.13e-06 9.99e-01 2.30e-06 1.03e-05 7.21e-06 1.80e-06 1.31e-04  6
38 1.94e-04 4.83e-03 2.45e-05 2.82e-04 2.10e-05 9.93e-01 2.08e-05 9.32e-05 6.46e-05 1.71e-05 1.27e-03  6
39 8.78e-03 4.89e-01 1.01e-03 1.71e-02 1.38e-03 4.06e-01 9.05e-04 6.31e-03 3.30e-03 8.04e-04 6.51e-02  6
40 5.76e-02 9.41e-03 2.70e-03 6.99e-01 8.06e-03 4.80e-03 2.89e-03 6.21e-02 5.55e-02 1.02e-02 8.75e-02  4
41 4.56e-02 4.06e-03 2.66e-03 7.66e-01 1.09e-02 4.40e-03 2.68e-03 1.90e-02 2.18e-02 1.45e-02 1.08e-01  4
42 5.15e-03 4.76e-05 2.88e-04 9.65e-01 6.69e-03 1.14e-04 3.04e-04 6.97e-04 1.51e-03 4.01e-03 1.65e-02  4
43 3.61e-03 2.85e-05 2.00e-04 9.72e-01 8.08e-03 6.95e-05 2.15e-04 4.72e-04 1.05e-03 2.36e-03 1.24e-02  4
44 8.16e-04 1.20e-05 4.43e-05 9.95e-01 1.05e-03 2.23e-05 4.72e-05 1.47e-04 2.82e-04 4.61e-04 2.47e-03  4
45 3.29e-03 3.45e-05 1.52e-04 9.84e-01 1.85e-03 6.00e-05 1.67e-04 4.46e-04 1.16e-03 2.00e-03 6.83e-03  4
46 2.34e-03 2.75e-05 1.17e-04 9.87e-01 1.78e-03 5.13e-05 1.27e-04 3.49e-04 7.97e-04 1.52e-03 5.77e-03  4
47 1.54e-06 3.05e-08 7.97e-08 1.00e+00 1.80e-06 4.54e-08 8.64e-08 3.41e-07 6.16e-07 6.44e-07 4.28e-06  4
48 3.06e-06 6.30e-08 1.57e-07 1.00e+00 3.20e-06 9.19e-08 1.71e-07 6.90e-07 1.25e-06 1.30e-06 8.26e-06  4
49 1.12e-05 2.61e-07 5.81e-07 1.00e+00 1.14e-05 3.65e-07 6.28e-07 2.73e-06 4.69e-06 4.60e-06 3.05e-05  4
50 8.18e-06 1.75e-07 4.16e-07 1.00e+00 7.93e-06 2.47e-07 4.52e-07 1.89e-06 3.42e-06 3.36e-06 2.15e-05  4
51 2.98e-05 5.33e-07 1.51e-06 1.00e+00 3.36e-05 8.04e-07 1.65e-06 6.18e-06 1.18e-05 1.25e-05 8.01e-05  4
52 9.78e-05 1.51e-06 5.03e-06 9.99e-01 1.22e-04 2.48e-06 5.47e-06 1.85e-05 3.66e-05 4.50e-05 2.72e-04  4
53 2.69e-05 4.65e-07 1.38e-06 1.00e+00 3.15e-05 7.27e-07 1.50e-06 5.45e-06 1.04e-05 1.19e-05 7.39e-05  4
54 1.09e-05 2.00e-07 5.60e-07 1.00e+00 1.24e-05 3.07e-07 6.08e-07 2.29e-06 4.26e-06 4.78e-06 2.99e-05  4
55 1.69e-04 4.01e-06 8.32e-06 9.99e-01 1.25e-04 5.20e-06 9.07e-06 4.13e-05 7.52e-05 6.63e-05 4.04e-04  4
56 2.84e-04 8.42e-06 1.50e-05 9.98e-01 3.42e-04 1.05e-05 1.63e-05 8.32e-05 1.26e-04 9.54e-05 8.23e-04  4
57 6.43e-04 2.20e-05 3.29e-05 9.96e-01 5.85e-04 2.46e-05 3.59e-05 2.08e-04 3.11e-04 1.99e-04 1.70e-03  4
58 1.93e-04 3.97e-06 1.08e-05 9.99e-01 3.48e-04 6.48e-06 1.15e-05 4.44e-05 7.29e-05 8.40e-05 6.43e-04  4
59 2.37e-05 4.79e-07 1.27e-06 1.00e+00 3.39e-05 7.37e-07 1.37e-06 5.36e-06 9.27e-06 1.00e-05 7.14e-05  4
60 8.43e-05 2.34e-06 4.42e-06 9.99e-01 9.53e-05 3.02e-06 4.79e-06 2.34e-05 3.69e-05 3.03e-05 2.39e-04  4
61 1.48e-05 3.70e-07 7.75e-07 1.00e+00 1.63e-05 5.03e-07 8.38e-07 3.82e-06 6.32e-06 5.72e-06 4.14e-05  4
62 3.12e-06 6.54e-08 1.64e-07 1.00e+00 3.91e-06 9.65e-08 1.77e-07 7.21e-07 1.26e-06 1.28e-06 8.96e-06  4
63 2.17e-03 8.77e-05 1.08e-04 9.88e-01 1.61e-03 8.60e-05 1.19e-04 7.99e-04 1.15e-03 5.88e-04 5.37e-03  4
64 2.65e-03 1.27e-04 1.37e-04 9.84e-01 2.23e-03 1.20e-04 1.50e-04 1.09e-03 1.40e-03 6.97e-04 7.10e-03  4
65 7.78e-04 1.64e-05 4.34e-05 9.94e-01 1.80e-03 2.55e-05 4.69e-05 1.86e-04 3.00e-04 2.86e-04 2.70e-03  4
66 7.60e-04 1.66e-05 4.25e-05 9.94e-01 1.72e-03 2.54e-05 4.58e-05 1.86e-04 2.96e-04 2.77e-04 2.64e-03  4
67 1.65e-03 2.46e-05 8.97e-05 9.87e-01 4.14e-03 4.23e-05 9.79e-05 3.21e-04 5.93e-04 6.25e-04 5.59e-03  4
68 6.05e-03 7.28e-05 3.75e-04 9.02e-01 5.64e-02 1.64e-04 3.99e-04 1.10e-03 1.91e-03 2.40e-03 2.92e-02  4
69 3.22e-04 5.55e-06 1.80e-05 9.98e-01 6.40e-04 9.79e-06 1.92e-05 6.66e-05 1.16e-04 1.49e-04 1.09e-03  4
70 1.60e-03 2.12e-05 9.17e-05 9.88e-01 3.07e-03 4.44e-05 9.69e-05 2.78e-04 5.21e-04 9.36e-04 5.62e-03  4
71 1.07e-02 6.19e-04 7.02e-04 8.88e-01 3.29e-02 7.63e-04 7.34e-04 4.52e-03 4.46e-03 2.77e-03 5.35e-02  4
72 2.46e-02 1.61e-03 2.07e-03 6.21e-01 9.75e-02 3.28e-03 2.02e-03 9.52e-03 8.60e-03 6.89e-03 2.23e-01  4
73 1.03e-03 3.06e-06 8.07e-05 1.89e-02 9.69e-01 1.67e-05 8.26e-05 1.17e-04 2.35e-04 4.38e-04 1.04e-02  5
74 3.39e-05 1.35e-07 2.70e-06 6.78e-04 9.99e-01 6.73e-07 2.75e-06 4.40e-06 8.22e-06 1.33e-05 3.55e-04  5
75 2.03e-05 7.77e-08 1.65e-06 3.89e-04 9.99e-01 4.11e-07 1.67e-06 2.63e-06 4.88e-06 8.15e-06 2.26e-04  5
76 6.49e-05 3.05e-07 5.17e-06 1.49e-03 9.98e-01 1.45e-06 5.24e-06 8.96e-06 1.61e-05 2.64e-05 6.67e-04  5
77 3.07e-04 1.63e-06 2.38e-05 7.83e-03 9.89e-01 6.99e-06 2.43e-05 4.38e-05 7.83e-05 1.20e-04 2.91e-03  5
78 9.76e-03 7.06e-05 6.50e-04 8.19e-01 1.05e-01 2.29e-04 6.73e-04 1.38e-03 2.61e-03 5.76e-03 5.47e-02  4
79 1.33e-02 6.43e-05 8.64e-04 7.85e-01 1.15e-01 2.35e-04 9.02e-04 1.52e-03 3.26e-03 9.05e-03 7.10e-02  4
80 9.21e-03 7.22e-05 6.28e-04 4.59e-01 4.63e-01 2.18e-04 6.60e-04 1.43e-03 2.58e-03 3.56e-03 5.99e-02  5
81 1.18e-02 5.97e-05 7.78e-04 5.81e-01 3.25e-01 2.08e-04 8.22e-04 1.45e-03 3.00e-03 5.81e-03 6.98e-02  3
82 1.61e-02 3.51e-05 1.33e-03 2.60e-01 5.30e-01 2.48e-04 1.32e-03 1.61e-03 3.38e-03 9.58e-03 1.76e-01  4
83 1.39e-01 1.50e-05 9.40e-03 1.43e-01 2.35e-02 2.00e-04 1.06e-02 2.39e-03 1.07e-02 5.74e-02 6.04e-01 11
84 5.02e-01 1.39e-05 4.67e-02 3.38e-02 3.02e-03 1.83e-04 5.09e-02 1.32e-03 8.36e-03 2.70e-02 3.27e-01  1
85 9.65e-01 1.02e-05 3.33e-03 4.57e-03 2.76e-04 4.10e-05 5.88e-03 2.22e-04 2.49e-03 2.41e-03 1.54e-02  1
86 8.92e-01 3.65e-05 7.47e-03 1.82e-02 9.91e-04 1.44e-04 1.08e-02 7.59e-04 8.05e-03 1.53e-02 4.67e-02  1
87 7.88e-01 2.68e-05 2.57e-02 2.06e-02 1.40e-03 1.82e-04 3.19e-02 9.14e-04 7.16e-03 1.85e-02 1.06e-01 11
88 8.81e-01 1.75e-05 1.61e-02 1.10e-02 7.38e-04 1.04e-04 2.36e-02 5.25e-04 4.54e-03 7.99e-03 5.46e-02  1
89 8.53e-01 1.71e-05 2.05e-02 1.25e-02 8.71e-04 1.12e-04 2.98e-02 5.86e-04 4.86e-03 8.98e-03 6.86e-02  1
90 7.41e-01 6.89e-05 1.89e-02 3.74e-02 2.14e-03 3.48e-04 2.19e-02 1.56e-03 1.27e-02 4.61e-02 1.18e-01  1
91 2.50e-05 1.36e-08 1.09e-06 2.90e-05 1.49e-06 7.04e-08 1.18e-06 4.23e-07 2.19e-06 1.00e+00 2.95e-05 10
92 1.92e-05 1.07e-08 8.42e-07 2.32e-05 1.19e-06 5.52e-08 9.15e-07 3.33e-07 1.71e-06 1.00e+00 2.31e-05 10
93 1.02e-03 6.18e-07 4.18e-05 1.31e-03 6.23e-05 2.94e-06 4.61e-05 1.80e-05 9.50e-05 9.96e-01 1.12e-03 10
94 1.05e-01 1.03e-04 3.77e-03 1.05e-01 3.83e-03 3.67e-04 4.14e-03 1.90e-03 1.11e-02 6.86e-01 7.87e-02 10
95 6.32e-03 4.10e-06 2.51e-04 6.79e-03 3.04e-04 1.84e-05 2.75e-04 1.05e-04 5.78e-04 9.79e-01 6.06e-03 10
96 3.79e-01 2.15e-04 8.05e-03 1.66e-01 5.86e-03 6.12e-04 9.88e-03 3.68e-03 3.27e-02 2.67e-01 1.28e-01 10
97 8.52e-01 1.30e-04 5.54e-03 3.73e-02 1.56e-03 2.86e-04 8.18e-03 1.67e-03 2.95e-02 1.44e-02 4.97e-02  1
98 1.11e-01 1.13e-04 3.97e-03 3.40e-01 1.19e-02 3.92e-04 4.61e-03 2.83e-03 1.51e-02 3.86e-01 1.24e-01 10
99 9.42e-03 4.88e-05 4.59e-04 9.46e-01 9.24e-03 1.20e-04 5.07e-04 8.88e-04 2.54e-03 7.35e-03 2.38e-02  4
100 1.39e-01 9.92e-04 3.75e-03 6.24e-01 8.58e-03 1.11e-03 4.58e-03 1.04e-02 8.92e-02 2.58e-02 9.17e-02  4
101 1.06e-01 5.18e-04 3.35e-03 6.83e-01 8.76e-03 8.55e-04 3.89e-03 6.21e-03 3.57e-02 6.25e-02 8.86e-02  1
102 8.43e-02 5.81e-04 2.76e-03 7.44e-01 7.88e-03 8.55e-04 3.18e-03 6.42e-03 3.39e-02 4.10e-02 7.54e-02  9
103 5.22e-02 7.41e-04 1.78e-03 8.29e-01 6.12e-03 7.91e-04 2.05e-03 7.33e-03 3.30e-02 1.47e-02 5.18e-02  4
104 1.32e-01 2.21e-03 4.34e-03 6.02e-01 7.80e-03 2.22e-03 4.90e-03 1.69e-02 9.46e-02 3.11e-02 1.02e-01  9
105 8.39e-02 9.99e-05 3.10e-03 2.59e-01 8.31e-03 3.41e-04 3.53e-03 2.27e-03 1.18e-02 5.34e-01 9.34e-02 10
106 4.40e-01 3.87e-04 1.99e-01 2.30e-02 1.60e-03 1.92e-03 9.44e-02 2.59e-03 1.46e-02 5.84e-03 2.16e-01  1
107 4.33e-01 1.79e-02 2.69e-02 9.27e-02 4.25e-03 1.96e-02 2.50e-02 2.10e-02 1.10e-01 1.33e-02 2.36e-01  6
108 8.44e-02 5.53e-03 2.57e-03 3.84e-02 1.22e-03 2.20e-03 2.99e-03 1.49e-02 8.09e-01 2.87e-03 3.55e-02  9
109 6.04e-03 1.68e-04 1.48e-04 2.76e-03 8.09e-05 8.26e-05 1.81e-04 6.69e-04 9.88e-01 2.03e-04 2.08e-03  9
110 9.18e-04 1.63e-05 2.01e-05 3.06e-04 9.60e-06 8.84e-06 2.52e-05 6.49e-05 9.98e-01 2.48e-05 2.62e-04  9
111 9.69e-01 4.67e-05 2.66e-03 3.89e-03 2.08e-04 8.68e-05 4.85e-03 3.62e-04 7.02e-03 8.30e-04 1.14e-02  1
112 9.79e-01 3.04e-05 1.92e-03 2.47e-03 1.30e-04 5.84e-05 3.46e-03 2.31e-04 4.41e-03 5.73e-04 7.31e-03  1
113 9.95e-01 4.29e-06 5.39e-04 4.81e-04 2.68e-05 1.02e-05 1.07e-03 4.04e-05 6.36e-04 1.29e-04 1.65e-03  1
114 9.98e-01 1.52e-06 2.05e-04 2.23e-04 1.22e-05 3.85e-06 3.99e-04 1.66e-05 2.60e-04 6.70e-05 7.07e-04  1
115 9.89e-01 8.26e-06 9.02e-04 1.51e-03 8.20e-05 2.05e-05 1.70e-03 1.01e-04 1.65e-03 4.47e-04 4.19e-03  1
116 9.85e-01 1.15e-05 1.21e-03 2.30e-03 1.24e-04 2.88e-05 2.24e-03 1.46e-04 2.39e-03 6.90e-04 6.09e-03  1
117 9.77e-01 2.05e-05 1.56e-03 3.77e-03 1.89e-04 4.71e-05 2.70e-03 2.38e-04 4.34e-03 1.16e-03 8.54e-03  1
118 9.72e-01 4.02e-05 1.95e-03 4.14e-03 2.04e-04 7.46e-05 3.34e-03 3.39e-04 7.54e-03 9.96e-04 9.72e-03  1
119 7.89e-01 3.81e-04 5.96e-03 3.89e-02 1.45e-03 5.54e-04 8.37e-03 2.85e-03 9.55e-02 9.11e-03 4.84e-02  1
120 9.93e-01 5.70e-06 6.34e-04 9.44e-04 4.89e-05 1.44e-05 1.11e-03 6.41e-05 1.04e-03 3.30e-04 2.56e-03  1
121 6.62e-01 2.91e-03 2.82e-02 4.67e-02 2.25e-03 4.40e-03 2.85e-02 7.33e-03 7.00e-02 9.20e-03 1.39e-01  1
122 9.89e-01 7.55e-06 1.80e-03 8.07e-04 4.69e-05 2.10e-05 3.55e-03 7.07e-05 9.03e-04 2.40e-04 3.41e-03  1
123 9.95e-01 1.40e-06 8.81e-04 3.29e-04 2.07e-05 5.45e-06 2.07e-03 2.25e-05 2.47e-04 1.25e-04 1.59e-03  1
124 9.99e-01 2.84e-07 1.13e-04 6.14e-05 3.72e-06 9.88e-07 2.46e-04 4.19e-06 5.02e-05 2.28e-05 2.59e-04  1
125 1.00e+00 1.15e-07 3.68e-05 2.37e-05 1.40e-06 3.79e-07 7.77e-05 1.62e-06 2.03e-05 8.66e-06 9.35e-05  1
126 1.00e+00 2.06e-08 5.70e-06 3.86e-06 2.26e-07 6.44e-08 1.19e-05 2.71e-07 3.53e-06 1.35e-06 1.48e-05  1
127 1.00e+00 2.81e-08 7.95e-06 5.38e-06 3.16e-07 8.87e-08 1.67e-05 3.76e-07 4.86e-06 1.90e-06 2.07e-05  1
128 9.99e-01 4.14e-07 1.22e-04 6.82e-05 3.98e-06 1.29e-06 2.51e-04 5.06e-06 6.43e-05 2.37e-05 2.73e-04  1
129 1.00e+00 1.49e-07 3.44e-05 2.28e-05 1.31e-06 4.31e-07 7.11e-05 1.72e-06 2.33e-05 7.43e-06 8.64e-05  1
130 9.90e-01 6.39e-06 1.40e-03 1.01e-03 5.60e-05 1.95e-05 2.38e-03 7.30e-05 9.31e-04 3.96e-04 3.60e-03  1
131 9.77e-01 1.31e-05 1.85e-03 3.80e-03 2.02e-04 3.91e-05 3.14e-03 2.02e-04 2.85e-03 1.68e-03 9.62e-03  1
132 9.91e-01 6.35e-06 8.80e-04 1.37e-03 7.24e-05 1.79e-05 1.53e-03 8.36e-05 1.23e-03 5.52e-04 3.74e-03  1
133 9.99e-01 6.18e-07 1.33e-04 1.20e-04 6.77e-06 1.87e-06 2.55e-04 8.07e-06 1.10e-04 4.51e-05 4.10e-04  1
134 9.99e-01 3.94e-07 1.48e-04 9.06e-05 5.45e-06 1.38e-06 3.13e-04 5.98e-06 7.23e-05 3.48e-05 3.69e-04  1
135 9.98e-01 8.37e-07 3.18e-04 2.09e-04 1.25e-05 3.00e-06 6.51e-04 1.33e-05 1.59e-04 8.47e-05 8.35e-04  1
136 9.98e-01 6.70e-07 2.71e-04 1.63e-04 9.88e-06 2.42e-06 5.71e-04 1.06e-05 1.25e-04 6.48e-05 6.74e-04  1
137 9.64e-01 8.00e-06 6.35e-03 2.52e-03 1.59e-04 3.68e-05 1.13e-02 1.54e-04 1.51e-03 1.26e-03 1.24e-02  1
138 9.86e-01 3.66e-06 1.86e-03 1.31e-03 8.18e-05 1.53e-05 3.68e-03 7.40e-05 8.06e-04 6.15e-04 5.50e-03  1
139 9.27e-01 1.08e-05 1.59e-02 3.38e-03 2.24e-04 5.51e-05 2.96e-02 2.18e-04 1.98e-03 1.57e-03 2.01e-02  1
140 9.82e-01 4.29e-06 3.25e-03 1.09e-03 6.87e-05 1.81e-05 6.68e-03 7.24e-05 7.49e-04 4.66e-04 5.42e-03  1
141 9.65e-01 4.84e-06 5.62e-03 1.86e-03 1.29e-04 2.38e-05 1.46e-02 1.14e-04 1.11e-03 7.46e-04 1.08e-02  1
142 9.80e-01 4.25e-06 2.85e-03 1.22e-03 8.21e-05 1.72e-05 7.72e-03 8.09e-05 8.61e-04 3.99e-04 6.47e-03  1
143 9.43e-01 7.43e-06 8.56e-03 2.75e-03 1.97e-04 3.59e-05 2.50e-02 1.76e-04 1.69e-03 9.38e-04 1.73e-02  1
144 9.88e-01 2.84e-06 1.58e-03 8.98e-04 5.88e-05 1.14e-05 3.79e-03 5.57e-05 6.12e-04 3.27e-04 4.25e-03  1
145 9.89e-01 2.83e-06 1.44e-03 8.83e-04 5.74e-05 1.11e-05 3.39e-03 5.45e-05 6.09e-04 3.19e-04 4.06e-03  1
146 1.00e+00 1.24e-07 3.96e-05 2.67e-05 1.60e-06 4.11e-07 8.53e-05 1.80e-06 2.27e-05 9.61e-06 1.06e-04  1
147 1.00e+00 1.08e-07 3.00e-05 2.22e-05 1.30e-06 3.44e-07 6.21e-05 1.50e-06 1.94e-05 8.04e-06 8.35e-05  1
148 9.99e-01 5.72e-07 1.33e-04 7.93e-05 4.62e-06 1.62e-06 2.84e-04 6.29e-06 8.48e-05 2.42e-05 3.14e-04  1
149 1.00e+00 1.02e-07 2.90e-05 1.86e-05 1.11e-06 3.16e-07 6.49e-05 1.35e-06 1.75e-05 5.99e-06 7.47e-05  1
150 1.00e+00 9.04e-10 2.43e-07 1.65e-07 9.70e-09 2.79e-09 5.17e-07 1.18e-08 1.54e-07 5.62e-08 6.37e-07  1
151 1.00e+00 1.80e-08 5.49e-06 3.41e-06 2.02e-07 5.75e-08 1.19e-05 2.41e-07 3.08e-06 1.18e-06 1.36e-05  1
152 1.00e+00 3.80e-09 9.97e-07 6.56e-07 3.84e-08 1.15e-08 2.12e-06 4.78e-08 6.31e-07 2.19e-07 2.54e-06  1
153 1.00e+00 3.54e-10 9.31e-08 6.40e-08 3.75e-09 1.08e-09 1.98e-07 4.57e-09 6.03e-08 2.16e-08 2.46e-07  1
154 1.00e+00 1.38e-09 3.76e-07 2.46e-07 1.45e-08 4.24e-09 8.04e-07 1.77e-08 2.32e-07 8.29e-08 9.58e-07  1
155 1.00e+00 1.33e-08 3.14e-06 2.24e-06 1.30e-07 3.94e-08 6.54e-06 1.63e-07 2.21e-06 7.44e-07 8.39e-06  1
156 1.00e+00 3.87e-08 9.85e-06 6.56e-06 3.86e-07 1.16e-07 2.14e-05 4.83e-07 6.43e-06 2.11e-06 2.56e-05  1
157 1.00e+00 3.44e-08 8.14e-06 5.96e-06 3.48e-07 1.02e-07 1.73e-05 4.32e-07 5.85e-06 1.93e-06 2.24e-05  1
158 1.00e+00 4.68e-09 1.21e-06 8.65e-07 5.06e-08 1.43e-08 2.56e-06 6.11e-08 8.08e-07 2.95e-07 3.28e-06  1
159 1.00e+00 4.59e-09 1.18e-06 8.33e-07 4.88e-08 1.40e-08 2.50e-06 5.94e-08 7.89e-07 2.79e-07 3.17e-06  1
160 1.00e+00 1.79e-07 7.00e-05 3.61e-05 2.19e-06 6.09e-07 1.59e-04 2.54e-06 3.08e-05 1.27e-05 1.55e-04  1
161 1.00e+00 8.85e-08 3.09e-05 1.69e-05 1.02e-06 2.90e-07 7.00e-05 1.21e-06 1.50e-05 5.78e-06 7.14e-05  1
162 1.00e+00 5.46e-08 1.82e-05 1.07e-05 6.43e-07 1.78e-07 4.04e-05 7.54e-07 9.45e-06 3.68e-06 4.40e-05  1
163 1.00e+00 1.55e-07 5.61e-05 3.19e-05 1.94e-06 5.18e-07 1.28e-04 2.23e-06 2.74e-05 1.09e-05 1.35e-04  1
164 9.99e-01 3.92e-07 1.29e-04 6.66e-05 4.05e-06 1.23e-06 3.04e-04 5.02e-06 6.30e-05 2.09e-05 2.88e-04  1
165 9.97e-01 8.19e-07 4.07e-04 1.67e-04 1.05e-05 2.90e-06 1.03e-03 1.20e-05 1.39e-04 5.56e-05 7.95e-04  1
166 9.96e-01 1.17e-06 6.09e-04 2.32e-04 1.47e-05 4.15e-06 1.59e-03 1.70e-05 1.95e-04 7.56e-05 1.13e-03  1
167 9.98e-01 5.16e-07 2.31e-04 1.21e-04 7.54e-06 1.86e-06 5.42e-04 8.17e-06 9.60e-05 4.32e-05 5.38e-04  1
168 9.90e-01 3.72e-06 1.67e-03 5.38e-04 3.37e-05 1.21e-05 4.33e-03 4.42e-05 5.13e-04 1.60e-04 2.69e-03  1
169 9.97e-01 1.80e-06 4.01e-04 2.31e-04 1.36e-05 4.96e-06 8.87e-04 1.91e-05 2.58e-04 6.56e-05 9.42e-04  1
170 9.96e-01 2.87e-06 5.68e-04 3.29e-04 1.90e-05 7.62e-06 1.18e-03 2.80e-05 3.86e-04 9.41e-05 1.30e-03  1
171 9.64e-01 1.60e-05 6.69e-03 1.72e-03 1.08e-04 4.90e-05 1.63e-02 1.58e-04 1.78e-03 4.68e-04 9.14e-03  1
172 9.60e-01 7.98e-06 7.47e-03 1.33e-03 8.66e-05 3.06e-05 2.19e-02 1.07e-04 1.10e-03 4.23e-04 7.80e-03  1
